"zip","median_income_census"
"Geographic Area Name",NA
"06390",98125
"10001",129852
"10002",48386
"10003",154262
"10004",NA
"10005",190233
"10006",190170
"10007",NA
"10009",92876
"10010",144969
"10011",145987
"10012",137106
"10013",161154
"10014",176395
"10016",140381
"10017",136705
"10018",145958
"10019",128559
"10020",NA
"10021",158677
"10022",172026
"10023",159874
"10024",181560
"10025",108940
"10026",81244
"10027",59587
"10028",175121
"10029",38695
"10030",39802
"10031",65283
"10032",56829
"10033",75040
"10034",67754
"10035",45121
"10036",95638
"10037",49153
"10038",105419
"10039",45371
"10040",65516
"10044",103347
"10065",155331
"10069",233636
"10075",155902
"10103",NA
"10110",NA
"10111",NA
"10112",NA
"10115",NA
"10119",NA
"10128",147772
"10152",NA
"10153",NA
"10154",NA
"10162",114139
"10165",NA
"10167",NA
"10168",NA
"10169",NA
"10170",NA
"10171",NA
"10172",NA
"10173",NA
"10174",NA
"10177",NA
"10199",NA
"10271",NA
"10278",NA
"10279",NA
"10280",206299
"10282",NA
"10301",85609
"10302",78263
"10303",83947
"10304",71561
"10305",83413
"10306",96866
"10307",147184
"10308",125850
"10309",116098
"10310",106250
"10311",NA
"10312",110719
"10314",104613
"10451",38770
"10452",41288
"10453",33186
"10454",24086
"10455",36115
"10456",34954
"10457",42683
"10458",40800
"10459",38006
"10460",36309
"10461",67028
"10462",60966
"10463",74974
"10464",103125
"10465",87985
"10466",65969
"10467",49330
"10468",46233
"10469",76020
"10470",90046
"10471",103046
"10472",41039
"10473",52462
"10474",41586
"10475",62712
"10501",220449
"10502",NA
"10503",243036
"10504",NA
"10505",153426
"10506",NA
"10507",107270
"10509",116831
"10510",220771
"10511",128218
"10512",117701
"10514",NA
"10516",140225
"10517",117009
"10518",NA
"10519",NA
"10520",142791
"10522",165417
"10523",118438
"10524",146250
"10526",NA
"10527",NA
"10528",154416
"10530",121722
"10532",141157
"10533",174038
"10535",66189
"10536",NA
"10537",132117
"10538",207969
"10540",NA
"10541",138617
"10542",NA
"10543",126417
"10545",NA
"10546",206750
"10547",162605
"10548",142273
"10549",133988
"10550",60701
"10552",96717
"10553",84478
"10560",193906
"10562",115697
"10566",85954
"10567",144194
"10570",183833
"10573",105686
"10576",NA
"10577",NA
"10578",NA
"10579",132500
"10580",NA
"10583",NA
"10588",178977
"10589",129214
"10590",211734
"10591",104984
"10594",163542
"10595",123438
"10596",98091
"10597",244853
"10598",173573
"10601",85859
"10603",121026
"10604",117014
"10605",148982
"10606",112270
"10607",168603
"10701",64776
"10703",89773
"10704",106786
"10705",67918
"10706",190833
"10707",130957
"10708",126343
"10709",170417
"10710",108845
"10801",85573
"10803",215208
"10804",NA
"10805",102109
"10901",108041
"10910",NA
"10911",NA
"10913",175357
"10914",160132
"10915",NA
"10916",135556
"10917",121944
"10918",140550
"10919",108859
"10920",145567
"10921",115221
"10922",123406
"10923",100469
"10924",110938
"10925",80321
"10926",94279
"10927",75167
"10928",102347
"10930",120098
"10931",83365
"10932",NA
"10933",NA
"10940",87080
"10941",99238
"10950",78931
"10952",64332
"10953",NA
"10954",116332
"10956",177952
"10958",147898
"10960",125789
"10962",148500
"10963",82989
"10964",187396
"10965",132660
"10968",145000
"10969",126875
"10970",120186
"10973",117167
"10974",117596
"10975",81250
"10976",85893
"10977",74451
"10979",NA
"10980",126284
"10983",160170
"10984",121250
"10985",NA
"10986",NA
"10987",152031
"10988",117321
"10989",134267
"10990",125870
"10992",112353
"10993",66189
"10994",170307
"10996",135333
"10998",129348
"11001",150000
"11003",124115
"11004",115360
"11005",89931
"11010",142321
"11020",167148
"11021",120230
"11023",141003
"11024",175300
"11030",234966
"11040",154696
"11042",NA
"11050",154225
"11096",93421
"11101",121062
"11102",96617
"11103",93324
"11104",80709
"11105",102012
"11106",84867
"11109",204885
"11201",173136
"11203",67897
"11204",69479
"11205",93887
"11206",61430
"11207",56523
"11208",62077
"11209",93854
"11210",83692
"11211",107506
"11212",41355
"11213",65127
"11214",65895
"11215",185865
"11216",101277
"11217",162863
"11218",97366
"11219",58347
"11220",69883
"11221",85736
"11222",125734
"11223",63368
"11224",43648
"11225",88568
"11226",81014
"11228",83665
"11229",70603
"11230",70027
"11231",139930
"11232",90891
"11233",62411
"11234",97479
"11235",59661
"11236",81464
"11237",85196
"11238",134523
"11239",38015
"11249",123047
"11354",66010
"11355",55326
"11356",86730
"11357",96988
"11358",88165
"11359",NA
"11360",98875
"11361",105932
"11362",122090
"11363",125015
"11364",98359
"11365",81258
"11366",135373
"11367",75061
"11368",72270
"11369",80297
"11370",76009
"11371",NA
"11372",78606
"11373",71480
"11374",90631
"11375",105904
"11377",73073
"11378",85830
"11379",93558
"11385",88838
"11411",116458
"11412",97979
"11413",118440
"11414",95051
"11415",86394
"11416",81188
"11417",87006
"11418",90156
"11419",93399
"11420",100006
"11421",90685
"11422",114697
"11423",80054
"11424",NA
"11426",103533
"11427",88980
"11428",91296
"11429",102880
"11430",NA
"11432",74096
"11433",77519
"11434",77598
"11435",79710
"11436",88047
"11439",NA
"11451",NA
"11501",137665
"11507",164028
"11509",168537
"11510",147319
"11514",151964
"11516",104331
"11518",117052
"11520",121748
"11530",228143
"11542",93242
"11545",182528
"11547",95972
"11548",122250
"11549",NA
"11550",92677
"11552",155154
"11553",121127
"11554",133971
"11556",NA
"11557",176274
"11558",111032
"11559",142830
"11560",163750
"11561",141629
"11563",136887
"11565",148049
"11566",177079
"11568",NA
"11569",81635
"11570",157163
"11572",148790
"11575",126146
"11576",216250
"11577",182674
"11579",193590
"11580",137402
"11581",142233
"11590",152960
"11596",163833
"11598",190074
"11691",56135
"11692",49720
"11693",68449
"11694",111011
"11697",122667
"11701",117033
"11702",137652
"11703",137158
"11704",129195
"11705",164300
"11706",119603
"11709",149191
"11710",173054
"11713",108173
"11714",120172
"11715",163125
"11716",128889
"11718",218000
"11719",126250
"11720",134898
"11721",197179
"11722",114049
"11724",NA
"11725",168281
"11726",128425
"11727",103287
"11729",136939
"11730",145652
"11731",161132
"11732",148965
"11733",173281
"11735",139443
"11738",140121
"11739",164286
"11740",152386
"11741",144346
"11742",125162
"11743",183187
"11746",164589
"11747",159540
"11749",116313
"11751",116559
"11752",151917
"11753",175781
"11754",123393
"11755",119364
"11756",146019
"11757",127889
"11758",154110
"11762",169624
"11763",120783
"11764",146813
"11765",196902
"11766",153235
"11767",152985
"11768",172570
"11769",123558
"11770",123571
"11771",157923
"11772",105245
"11776",120573
"11777",150505
"11778",126349
"11779",112180
"11780",144577
"11782",147672
"11783",176993
"11784",104369
"11786",163466
"11787",143101
"11788",149726
"11789",131528
"11790",171133
"11791",202962
"11792",146174
"11793",167068
"11794",NA
"11795",177269
"11796",173472
"11797",192609
"11801",145788
"11803",187514
"11804",190469
"11901",85061
"11930",123257
"11931",NA
"11932",173672
"11933",74195
"11934",170801
"11935",143750
"11937",129883
"11939",102500
"11940",138639
"11941",123750
"11942",93710
"11944",85298
"11946",133918
"11947",NA
"11948",148398
"11949",138864
"11950",97661
"11951",110862
"11952",120139
"11953",86206
"11954",142961
"11955",79844
"11956",130875
"11957",94261
"11958",NA
"11959",88542
"11960",240313
"11961",76216
"11962",NA
"11963",127746
"11964",134620
"11965",NA
"11967",111617
"11968",156219
"11970",NA
"11971",129507
"11972",NA
"11973",NA
"11975",131042
"11976",180250
"11977",151375
"11978",125179
"11980",102600
"12007",200078
"12008",125859
"12009",120101
"12010",63696
"12015",91845
"12017",NA
"12018",126620
"12019",112420
"12020",107112
"12022",96875
"12023",112885
"12024",NA
"12025",74352
"12027",120000
"12028",96891
"12029",103542
"12031",87143
"12032",65789
"12033",98569
"12035",98375
"12036",41823
"12037",89844
"12040",57955
"12041",122143
"12042",NA
"12043",64583
"12045",NA
"12046",80707
"12047",66071
"12051",91786
"12052",118424
"12053",91991
"12054",129583
"12056",132150
"12057",68306
"12058",85469
"12059",106506
"12060",101548
"12061",110962
"12062",87679
"12063",90855
"12064",63500
"12065",113873
"12066",78571
"12067",125521
"12068",72788
"12069",90179
"12070",86989
"12071",99375
"12072",81063
"12074",94583
"12075",98047
"12076",84583
"12077",118257
"12078",58367
"12082",NA
"12083",83537
"12084",91063
"12085",NA
"12086",78155
"12087",91458
"12090",68056
"12092",58615
"12093",65321
"12094",92266
"12095",69469
"12106",75714
"12108",55625
"12110",105024
"12115",91875
"12116",78986
"12117",66000
"12118",92710
"12120",78917
"12121",100461
"12122",55875
"12123",108878
"12124",85461
"12125",55625
"12130",104286
"12131",71563
"12132",NA
"12134",77928
"12136",148750
"12137",83879
"12138",75833
"12139",71563
"12140",138393
"12143",95101
"12144",90738
"12147",85875
"12148",141984
"12149",50608
"12150",79776
