price,street_address,longitude,latitude,zipcode,bathrooms,bedrooms,interest_level,outdoor space,dishwasher,elevator,pool,furnished,in unit wash/dryer,in building wash/dryer,fitness center,parking spot,pet policy,doorman,near_restaurants_1_5_miles,moderate_restaurants_3_miles,far_restaurants_7_5_miles
2400,145 Borinquen Place,-73.9539,40.7108,11211,1,1,medium,0,1,0,0,0,0,1,0,0,1,0,0,21,73
3800,230 East 44th,-73.9722,40.7513,10017,1,2,low,0,1,1,0,0,0,1,0,0,0,1,8,37,66
3495,405 East 56th Street,-73.9625,40.7575,10022,1,2,medium,0,1,1,0,0,1,1,0,0,0,1,3,26,66
3000,792 Metropolitan Avenue,-73.9425,40.7145,11211,1.5,3,medium,0,0,0,0,0,0,0,0,0,0,0,0,17,71
2795,340 East 34th Street,-73.9743,40.7439,10016,1,0,low,0,0,1,0,0,0,1,1,0,0,1,3,36,66
7200,145 East 16th Street,-73.9865,40.7348,10003,1,3,low,0,1,1,0,0,0,0,0,0,0,1,20,34,60
6000,410 East 13th Street,-73.9826,40.7302,10009,2,3,low,0,1,0,0,0,1,0,0,0,0,0,7,33,66
1945,1661 York Avenue,-73.9467,40.7769,10128,1,0,high,0,1,1,0,0,0,1,0,0,0,0,9,17,68
2435,346 E 19 Street,-73.9811,40.7346,10003,0,1,low,0,0,0,0,0,0,0,0,0,0,0,10,34,60
6850,94 Hicks Street,-73.9943,40.699,11201,3,3,low,0,0,0,0,0,0,0,0,0,1,0,0,14,86
2785,"420 E 80th St.
",-73.951,40.7723,10075,1,0,low,0,0,1,0,0,0,1,0,0,1,1,9,17,68
3100,360 W 34 St.,-73.9959,40.753,10001,1,2,low,1,1,1,0,0,0,1,1,0,1,1,16,34,63
2400,620 West 42nd Street,-73.999,40.761,10036,1,0,medium,1,1,1,1,0,0,1,1,0,0,1,9,20,66
2750,174 Thompson St.,-74,40.7277,10012,1,1,low,0,0,0,0,0,0,0,0,0,0,0,17,28,62
5465,360 E 65 Street,-73.9596,40.7633,10065,2,2,low,0,1,1,0,0,0,1,0,0,1,1,12,26,66
3150,63A Division Avenue,-73.9665,40.7073,11211,1,0,low,0,0,0,0,0,0,0,0,0,0,0,0,22,73
3750,235 E 46 Street,-73.9709,40.7528,10017,1,2,low,0,0,1,0,0,0,0,0,0,0,1,8,31,66
4450,170 East 18th Street,-73.986,40.736,10003,1,3,high,1,1,1,0,0,0,1,1,1,1,1,13,34,60
3200,308 W 77 Street,-73.9828,40.783,10023,1,1,low,0,0,0,0,0,0,0,0,0,0,0,1,21,53
2495,576 Main Street,-73.9486,40.7621,10044,1,1,low,0,0,0,0,0,0,0,0,0,0,1,9,20,66
2195,655 2nd Ave,-73.9754,40.746,10016,1,0,low,1,1,0,0,0,0,0,0,0,0,0,8,45,66
5975,460 West 20th Street,-74.0053,40.7456,10011,2,2,low,0,0,1,0,0,0,0,0,0,1,1,11,34,60
4960,500 West 56th Street,-73.9895,40.7685,10019,1,1,low,1,1,1,0,0,1,1,1,1,1,1,12,29,66
3362,252 First Ave,-73.9817,40.7319,10009,1,1,low,0,1,1,0,0,0,0,0,0,0,0,7,33,66
2700,510 E 79th St,-73.9496,40.7709,10075,1,1,medium,0,0,0,0,0,0,1,0,0,0,0,9,17,68
5500,317 Second Ave,-73.9832,40.7352,10003,2,3,low,0,1,0,0,0,1,0,0,0,0,0,10,34,60
5425,Cliff Street,-74.0048,40.7084,10038,1,2,low,1,0,1,0,0,1,0,1,0,0,1,0,14,85
3250,407 East 81st Street,-73.9509,40.7735,10028,1,2,low,0,0,0,0,0,0,0,0,0,1,0,9,17,68
2350,242 E 75 Street,-73.9576,40.7708,10021,1,0,low,0,1,0,0,0,1,0,0,0,0,0,12,24,68
3395,350 W 43 St.,-73.9913,40.7585,10036,1,2,low,1,1,1,0,0,0,1,1,0,1,1,15,29,66
4000,55 Spring St,-73.9966,40.7223,10012,1,2,low,0,1,0,0,0,1,0,0,0,0,0,14,24,68
1495,244 W 64 Street,-73.9875,40.7743,10023,1,0,high,0,0,1,0,0,0,0,0,0,0,1,7,24,51
5200,225 West 109th Street,-73.9653,40.8031,10025,1,4,medium,0,0,0,0,0,0,0,0,0,0,0,0,12,47
2900,99 Suffolk Street,-73.9865,40.7185,10002,1,1,medium,0,0,1,0,0,0,1,0,0,0,0,14,22,72
2200,830 42nd St,-73.9984,40.645,11232,1,3,high,0,0,1,0,0,0,0,0,0,0,0,2,15,61
2475,165 East 19th Street,-73.961,40.6455,11226,1,2,low,0,0,1,0,0,0,0,0,0,1,0,0,11,53
2895,697 Tenth Avenue,-73.9932,40.7633,10036,1,1,low,0,1,0,0,0,1,0,0,0,1,0,15,29,66
1750,347 E 76 Street,-73.9553,40.771,10021,1,0,low,0,0,0,0,0,0,0,0,0,0,0,9,24,68
3050,1475 President St.,-73.9398,40.6678,11213,2,3,low,0,1,0,0,0,0,1,0,0,1,0,6,11,57
3850,219 E 25th St.,-73.9811,40.7398,10010,1,0,low,0,0,1,0,1,0,1,0,0,0,0,5,34,60
2400,98 Harman,-73.9227,40.6956,11221,1,3,medium,1,0,0,0,0,0,0,0,0,0,0,15,15,80
3925,101 West End Avenue,-73.9886,40.7751,10023,1,1,low,0,1,1,0,0,1,1,1,0,0,1,3,24,51
2795,706 Amsterdam Avenue,-73.9715,40.7931,10025,1,2,high,0,0,0,0,0,0,0,0,0,0,0,0,13,53
2850,504 East 12th Street,-73.981,40.7287,10009,1,1,low,0,0,0,0,0,0,0,0,0,1,0,7,31,66
2985,235 East 46th Street,-73.9709,40.7528,10017,1,1,low,0,1,1,0,0,0,1,0,0,0,1,8,31,66
4400,215 E 96th St.,-73.949,40.7852,10128,1,1,low,1,1,1,1,0,1,0,1,0,1,1,9,16,53
3620,2 Gold Street,-74.0069,40.7074,10038,1,1,low,0,0,1,0,0,0,0,0,0,1,1,0,14,85
4200,228 Jefferson St,-73.9279,40.7024,11237,3,4,low,1,0,0,0,0,0,1,0,0,1,0,15,15,92
4995,353 e 83,-73.9509,40.7754,10028,2,3,low,1,0,1,0,0,0,1,0,0,0,1,9,17,68
1895,357 East 68th Street,-73.9582,40.7656,10065,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,12,26,68
13745,103 5 Ave.,-73.9917,40.7381,10003,3,3,low,0,1,1,0,1,1,1,0,0,0,0,24,34,60
3710,15 cliff st,-74.0079,40.7075,10038,1,1,low,0,0,1,0,0,0,0,1,0,1,1,0,14,85
3300,323 West 96th Street,-73.9742,40.7959,10025,1,1,low,0,0,1,0,0,0,0,0,0,1,1,0,13,53
4350,354 E 66 Street,-73.9592,40.7641,10065,1,3,low,0,1,0,0,0,0,0,0,0,1,0,12,26,66
2175,612 West 144th Street,-73.9518,40.826,10031,1,1,low,0,0,1,0,0,0,0,0,0,1,0,3,8,41
2995,4610 Center Boulevard,-73.9566,40.7474,11109,1,1,low,0,0,0,0,0,0,0,0,0,1,0,2,26,66
2850,35 Rogers Ave,-73.9524,40.6765,11216,2,3,high,0,0,0,0,0,0,1,0,0,1,0,0,14,65
3100,520 W 48 Street,-73.994,40.7638,10036,1,1,low,1,0,1,0,0,0,0,0,0,1,1,15,29,66
2850,305 West 13th Street,-74.0035,40.7396,10014,1,0,low,1,0,1,0,0,0,1,0,0,0,0,15,34,60
2065,342 E 62 St.,-73.9617,40.7617,10065,1,0,low,1,1,0,0,0,0,1,0,0,1,0,12,26,66
2050,411 14th Street,-73.9826,40.6633,11215,1,1,low,0,0,0,0,0,0,0,0,0,0,0,0,2,58
3000,377 East 33rd Street,-73.9746,40.7434,10016,1,1,high,1,1,1,0,0,1,1,1,0,0,1,3,36,63
3510,228 West 71st Street,-73.9837,40.7783,10023,1,1,low,0,0,0,0,0,0,0,0,0,1,0,1,24,53
2200,19 W 69 Street,-73.9782,40.7749,10023,1,0,low,0,0,1,0,0,0,0,0,0,0,1,15,24,53
3650,41 River Terrace,-74.0148,40.7182,10282,1,0,low,1,1,1,0,0,0,1,1,0,1,1,8,19,62
2547,355 E 72nd St.,-73.9563,40.7681,10021,1,0,low,0,0,1,0,0,0,1,0,0,0,1,12,26,68
2950,529 West 42nd Street,-73.9973,40.7606,10036,1,0,medium,1,1,1,1,0,1,1,1,0,0,1,12,29,66
3200,43 Avenue C,-73.9806,40.7221,10009,1,2,medium,0,0,1,0,0,0,0,1,0,1,0,7,24,72
2500,27-37 27th St,-73.9235,40.7689,11102,1.5,2,low,0,0,1,0,0,0,1,0,0,1,0,0,11,70
3350,330 W 45 St.,-73.99,40.7596,10036,1,2,low,0,0,1,0,0,0,1,0,0,0,1,15,29,66
5550,50 E 28th St,-73.9851,40.7437,10016,1,1,low,0,0,0,0,0,0,0,1,0,1,0,10,34,63
3104,550 West 54th Street,-73.9915,40.7678,10019,1,0,low,0,0,1,0,0,0,0,1,0,1,1,12,29,66
3050,340 E 29th St.,-73.9772,40.7412,10016,1,1,low,1,1,1,0,0,0,1,0,0,0,1,3,36,63
2075,27-37 27th Street,-73.9368,40.7534,11101,1,1,medium,0,0,1,0,0,0,0,0,0,1,0,2,14,66
2795,521 East 5th Street,-73.9833,40.7246,10009,1,1,medium,0,1,0,0,0,1,0,0,0,0,0,14,24,68
3295,66 W.109th St,-73.961,40.8007,10025,1,4,low,0,0,0,0,0,0,0,0,0,1,0,0,12,60
4550,212 Grand Street,-73.9961,40.7191,10013,1,2,low,0,0,1,0,0,0,0,0,0,0,0,14,22,68
3500,222 East 39th Street,-73.9748,40.7481,10016,1,1,low,1,0,0,0,0,0,1,1,0,1,1,10,45,66
1995,341 W 45 Street,-73.9901,40.7601,10036,1,0,low,0,0,1,0,0,0,0,0,0,1,1,15,29,66
4599,35 West 33rd Street,-73.9868,40.7488,10001,1,2,low,0,1,1,0,0,0,1,1,0,1,1,19,34,63
10000,246 W 17TH ST,-74.0001,40.741,10011,3,2,low,0,0,0,0,0,0,0,0,0,0,0,18,34,60
3200,200 W 60 St.,-73.9876,40.771,10023,1,1,low,1,1,1,1,0,1,1,1,0,1,1,10,29,51
3195,521 East 5th Street,-73.9833,40.7246,10009,1,1,medium,1,1,1,0,0,1,0,0,0,1,0,14,24,68
2717,610-620 West 42nd Street,-73.9991,40.7606,10036,1,0,low,0,1,0,1,0,1,1,1,0,1,1,12,20,66
4000,10 Waterside Plaza,-73.9741,40.7369,10010,1,2,low,0,0,1,0,0,0,0,0,0,1,1,3,36,60
2625,50 West 34th Street,-73.9875,40.7494,10001,0,0,low,1,0,1,0,0,0,1,1,0,0,1,19,34,63
2500,351 East 60th Street,-73.9617,40.7604,10022,1,0,low,0,0,0,0,0,0,0,0,0,0,1,12,26,66
2550,735 Rogers Ave,-73.9525,40.6533,11226,1,2,low,1,0,0,0,0,0,0,0,0,1,0,4,11,48
3675,500 West 54th Street,-73.9905,40.7673,10019,1,1,low,1,1,1,1,0,1,1,1,0,1,1,12,29,66
2500,543 East 5th Street,-73.9824,40.7242,10009,1,2,low,0,0,0,0,0,0,0,0,0,0,0,7,24,72
3785,50 West 77th Street,-73.976,40.7803,10024,1,1,low,0,0,0,0,0,0,0,0,0,1,0,10,24,53
10800,50 Murray Street,-74.0096,40.7141,10007,2,2,low,1,1,1,0,0,0,1,1,1,1,1,8,19,81
2150,232 E 74th St,-73.9585,40.7704,10021,1,0,low,1,0,0,0,0,0,1,0,0,0,0,12,26,68
2895,314 E 106th St.,-73.9416,40.79,10029,3,3,medium,0,0,1,0,0,0,0,0,0,0,0,0,15,54
3600,324 E 52nd St.,-73.9666,40.7555,10022,1,2,low,0,1,1,0,0,0,1,0,0,0,0,8,31,66
3025,166 2nd Ave.,-73.9865,40.7301,10003,1,0,low,0,0,1,0,0,0,1,0,0,0,1,14,33,66
2795,211 W 56 Street,-73.9817,40.7655,10019,1,0,low,0,1,1,0,0,0,1,0,0,0,1,15,29,66
1875,686 W 204 Street,-73.924,40.8679,10034,1,1,low,0,1,1,0,0,0,0,0,0,1,0,7,9,28
3450,360 West 34th Street,-73.9958,40.753,10001,1,1,low,0,0,0,0,0,0,0,1,0,1,1,16,34,63
2659,1632 Madison Avenue,-73.9481,40.7957,10029,1,2,low,0,0,1,0,0,0,1,0,0,1,0,0,15,60
