neighborhood,avg_asking_rent,market_sale_price_unit,inventory_units,asset_value_billions,vacancy_rate,median_income,early_education_enrollment,reading_test_scores_3rd_to_8th_grade,math_test_scores_3rd_to_8th_grade,graduation_rate,walk_score,transit_score,bike_score,subway_station_count,avg_routes_per_station,percent_ada_accessible,restaurant_count,cuisine_diversity,avg_restaurant_score,percent_a_grade,critical_violation_share,green_space_count,total_green_acres,avg_green_acres,percent_waterfront,education_score,movement_score,restaurant_score,green_score
upper east side,4643,629000,58593,37.2,1.8,157507.05089,0.83177,0.72788,0.74161,0.78974,99,100,81,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,1.414061114057672,0.5015233736693857,0.3523996309870766,-0.6799244571079635
upper west side,5389,633000,57869,36.6,2.6,148568.52455,0.88347,0.64087,0.59609,0.74555,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,1.0695323139637012,0.5238934602854376,0.3523996309870766,-0.6799244571079635
midtown west,5036,755000,34194,27.4,3,122291.36764,0.70235,0.73077,0.71429,0.71077,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,0.7818869802240236,0.5238934602854376,0.3523996309870766,-0.6799244571079635
prospect park,3293,374000,69129,27.1,4.6,161651.34214,0.78537,0.63275,0.61538,0.7433,98,100,89,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,0.8545686170954351,0.43291001971712073,-0.054112879109941135,0.4014317476030904
lower west side,5375,867000,29324,25.5,2.1,NA,NA,NA,NA,NA,NA,NA,NA,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.5238934602854376,0.3523996309870766,-0.6799244571079635
williamsburg,4635,515000,44562,23.4,4.6,91865.12284,NA,NA,NA,NA,96,87.5,89.5,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,NA,0.10192247541320193,-0.054112879109941135,0.4014317476030904
chelsea,5580,834000,26908,23.3,2.6,122291.36764,NA,NA,NA,NA,99,100,95,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.7278974080191426,0.3523996309870766,-0.6799244571079635
downtown brooklyn,4677,598000,32101,19.7,9.4,110996.49514,NA,NA,NA,NA,NA,NA,NA,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,NA,0.09547851130797608,-0.054112879109941135,0.4014317476030904
bushwick,2909,341000,55081,18.9,3.9,61494.6389,0.664675,0.273625,0.215055,0.566105,95,98,84,169,1.44378698224852,0.27810650887574,7002,82,13.3536206130609,0.818904154941235,0.477435018566124,628,4864.046,7.74529617834395,0.0652866242038217,-1.0563925204543665,0.22651194998629426,-0.054112879109941135,0.4014317476030904
financial district,5900,838000,19139,18.8,8.9,173731.66335,NA,NA,NA,NA,99,100,90,151,1.81699346405229,0.470588235294118,10735,87,13.1018984889578,0.835522744544566,0.474988355845366,395,2874.83,7.27805063291139,0.0632911392405063,NA,0.6470495386085152,0.3523996309870766,-0.6799244571079635
