price,street,area,bedrooms,bathrooms,halfbathrooms,unit,status,buildingType,latitude,longitude
3600,60 West 57th Street,Midtown,0,1,0,18G,ACTIVE,RENTAL,40.763836,-73.977135
3860,222 Washington Road,Dyker Heights,3,2,0,341-3D,ACTIVE,RENTAL,40.60695,-74.03011
3860,222 Washington Road,Dyker Heights,3,2,0,357-2A,ACTIVE,RENTAL,40.60695,-74.03011
3860,222 Washington Road,Dyker Heights,3,2,0,344-2B,ACTIVE,RENTAL,40.60695,-74.03011
2223,1412 Brooklyn Avenue,East Flatbush,1,1,0,1G,ACTIVE,RENTAL,40.6382,-73.9432
3369,3403 Foster Avenue,East Flatbush,1,1,0,2G,ACTIVE,RENTAL,40.6392,-73.944
2770,1413 New York Avenue,East Flatbush,2,1,0,2A,ACTIVE,RENTAL,40.6381,-73.9446
3385,3103 Foster Avenue,Flatbush,3,3,0,5A,ACTIVE,RENTAL,40.6394,-73.9475
3889,2183 3rd Avenue,East Harlem,2,1,0,1203,ACTIVE,RENTAL,40.7999,-73.9384
3850,26-19 2nd Street,Astoria,2,1,0,601,ACTIVE,RENTAL,40.77645,-73.934685
3050,3745 Riverdale Avenue,Spuyten Duyvil,1,1,0,1,ACTIVE,RENTAL,40.8875,-73.9083
5000,3745 Riverdale Avenue,Spuyten Duyvil,2,2,0,2,ACTIVE,RENTAL,40.8875,-73.9083
2400,3745 Riverdale Avenue,Spuyten Duyvil,0,1,0,3,ACTIVE,RENTAL,40.8875,-73.9083
2400,78 Herkimer Street,Bedford-Stuyvesant,0,1,0,205,ACTIVE,RENTAL,40.679474,-73.95079
2550,341 Union Avenue,Williamsburg,0,1,0,2,ACTIVE,RENTAL,40.710506,-73.95136
3830,145 East 26th Street,Kips Bay,1,1,0,5A,ACTIVE,RENTAL,40.7412,-73.9826
4123,420 East 54th Street,Sutton Place,0,1,0,712,ACTIVE,RENTAL,40.7558,-73.9635
5550,98-81 Queens Boulevard,Rego Park,2,2,0,4A,ACTIVE,RENTAL,40.727974,-73.855194
4150,98-81 Queens Boulevard,Rego Park,1,1,0,4L,ACTIVE,RENTAL,40.727974,-73.855194
3600,27-03 42nd Road,Hunters Point,1,1,0,10C,ACTIVE,RENTAL,40.7497,-73.9401
3950,3880 9th Avenue,Inwood,1,1,0,12S,ACTIVE,RENTAL,40.864166,-73.91741
3325,3880 9th Avenue,Inwood,1,1,0,4V,ACTIVE,RENTAL,40.864166,-73.91741
3400,3880 9th Avenue,Inwood,1,1,0,10V,ACTIVE,RENTAL,40.864166,-73.91741
6548,776 Sixth Avenue,NoMad,1,1,0,32I,ACTIVE,RENTAL,40.7448,-73.9909
3315,2413 3rd Avenue,Mott Haven,1,1,0,1806,ACTIVE,RENTAL,40.808754,-73.93145
5036,2413 3rd Avenue,Mott Haven,3,1,0,1607,ACTIVE,RENTAL,40.808754,-73.93145
5220,150 East 44th Street,Turtle Bay,1,1,0,50D,ACTIVE,RENTAL,40.7521,-73.9742
8250,240 Third Avenue,Gowanus,2,2,0,9AZ,ACTIVE,RENTAL,40.678787,-73.985596
15375,55 Fleet Street,Downtown Brooklyn,3,2,1,52B,ACTIVE,RENTAL,40.6907,-73.9823
3250,3880 9th Avenue,Inwood,1,1,0,3V,ACTIVE,RENTAL,40.864166,-73.91741
3786,401 East 34th Street,Murray Hill,0,1,0,S35X,ACTIVE,RENTAL,40.7438,-73.9725
4500,1020 Rogers Avenue,Flatbush,3,2,0,7K,ACTIVE,RENTAL,40.64547,-73.95211
1750,2058 Cropsey Avenue,Bath Beach,0,1,0,4C,ACTIVE,RENTAL,40.5988,-74.0019
5125,567 Fulton Street,Downtown Brooklyn,1,1,0,10M,ACTIVE,RENTAL,40.689545,-73.98176
2950,26-19 2nd Street,Astoria,1,1,0,503,ACTIVE,RENTAL,40.77645,-73.934685
3510,2413 3rd Avenue,Mott Haven,1,1,0,2504,ACTIVE,RENTAL,40.808754,-73.93145
5695,10 Downing Street,West Village,0,1,0,003P,ACTIVE,RENTAL,40.7292,-74.0028
7995,650 1st Avenue,Murray Hill,2,1,0,10H,ACTIVE,RENTAL,40.74572,-73.971634
5695,650 1st Avenue,Murray Hill,0,1,0,10B,ACTIVE,RENTAL,40.74572,-73.971634
3230,788 Willoughby Avenue,Stuyvesant Heights,0,1,0,537,ACTIVE,RENTAL,40.694996,-73.93616
4025,60 Wharf Dr,Greenpoint,0,1,0,722,ACTIVE,RENTAL,40.726715,-73.96056
9195,650 1st Avenue,Murray Hill,2,2,0,10F,ACTIVE,RENTAL,40.74572,-73.971634
4575,1133 Manhattan Avenue,Greenpoint,1,1,0,N631,ACTIVE,RENTAL,40.73687,-73.95604
8495,650 1st Avenue,Murray Hill,2,2,0,10G,ACTIVE,RENTAL,40.74572,-73.971634
4943,730 Columbus Avenue,Upper West Side,1,1,0,15J,ACTIVE,RENTAL,40.7926,-73.9682
3125,3880 9th Avenue,Inwood,0,1,0,6H,ACTIVE,RENTAL,40.864166,-73.91741
3125,26-19 2nd Street,Astoria,1,1,0,401,ACTIVE,RENTAL,40.77645,-73.934685
5500,26-38 Jackson Avenue,Hunters Point,1,1,0,07B,ACTIVE,RENTAL,40.747368,-73.940895
4892,776 Sixth Avenue,NoMad,0,1,0,11A,ACTIVE,RENTAL,40.7448,-73.9909
3800,27-03 42nd Road,Hunters Point,1,1,0,24A,ACTIVE,RENTAL,40.7497,-73.9401
6093,776 Sixth Avenue,NoMad,1,1,0,26E,ACTIVE,RENTAL,40.7448,-73.9909
4130,141 East 33rd Street,Kips Bay,0,1,0,010J,ACTIVE,RENTAL,40.7458,-73.9798
